"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @elonmusk: World's top artificial intelligence developers sign open letter calling for AI safety research: http://t.co/ShWc8F7Kyq",FALSE,0,NA,2015-01-11 18:41:10,FALSE,NA,"554347299636518914",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",1570,TRUE,FALSE,NA,NA
"RT @BenBajarin: @sundarpichai shameless plug of my own article on the future of the mobile internet https://t.co/icx8hQDPcc",FALSE,0,NA,2015-01-05 17:34:27,FALSE,NA,"552156182593286144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",7,TRUE,FALSE,NA,NA
"RT @googlechrome: Coming soon: Google Cast for audio. Cast your favorite audio entertainment from your mobile device to your speakers: http…",FALSE,0,NA,2015-01-05 17:34:03,FALSE,NA,"552156081586061312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",357,TRUE,FALSE,NA,NA
"RT @johnbattelle: From wknd: Predictions 2015: Uber, Google, Apple, Beacons, Health, Nest, China, Adtech… http://t.co/5SsQwDT5Mz via @johnb…",FALSE,0,NA,2015-01-05 16:37:23,FALSE,NA,"552141823691354113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",13,TRUE,FALSE,NA,NA
"Great reading @fredwilson and @johnbattelle predictions for 2015, also @BenedictEvans questions for 2015. Lmk if there are other great reads",FALSE,57,NA,2015-01-05 16:36:58,FALSE,NA,"552141717734830080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",11,FALSE,FALSE,NA,NA
"Coming back to the grid. Happy New Year. Just got back from Costa Rica. Beautful country, Pura Vida as they would say.",FALSE,68,NA,2015-01-05 16:35:13,FALSE,NA,"552141277911740416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundarpichai",13,FALSE,FALSE,NA,NA
"RT @SusanWojcicki: Read my just published op-ed in the @WSJ “Paid Maternity Leave Is Good for Business” #maternityleave http://t.co/op2hBGv…",FALSE,0,NA,2014-12-17 15:45:15,FALSE,NA,"545243332331323392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",41,TRUE,FALSE,NA,NA
"RT @google: As you look back on the year, what did you search for in 2014? #YearInSearch http://t.co/8mJHlDvVCd",FALSE,0,NA,2014-12-13 18:29:45,FALSE,NA,"543835181098864641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",177,TRUE,FALSE,NA,NA
"RT @theamitsinghal: Huge leap forward in image understanding. This system scores 59 vs state-of-the-art of 25 (humans score 69) http://t.co…",FALSE,0,NA,2014-12-02 04:29:39,FALSE,NA,"539637496053628929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",64,TRUE,FALSE,NA,NA
"RT @rabovitz: Star Wars: The Force Awakens - 
http://t.co/JqacvN5pik getting a little excited :) http://t.co/iKh8UbSedF",FALSE,0,NA,2014-11-28 20:58:09,FALSE,NA,"538436709646880768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sundarpichai",28,TRUE,FALSE,NA,NA
